ID,Carrera,V1_FrecuenciaSemanal,V2_MesesUsoIA,V3_UsoPorCada10,V4_PromedioAcademico,V5_HerramientaPreferida,V6_PatronUso,V7_Verificacion,V8_Dependencia
1,Ingenieria de Sistemas,6,12,8,4.3,ChatGPT,Usarlo como base y reescribirlo,A veces,string(8)
2,Ingenieria de Sistemas,7,14,9,4.5,ChatGPT,Copiar y pegar directamente el texto generado,Nunca,string(9)
3,Ingenieria de Sistemas,5,10,7,4.1,ChatGPT,Usarlo como base y reescribirlo,A veces,string(7)
4,Ingenieria Industrial,3,8,5,3.9,Claude,Pedirle que evalúe y retroalimente un texto mío,Siempre,string(5)
5,Ingenieria de Sistemas,6,11,8,4.2,ChatGPT,Usarlo como base y reescribirlo,A veces,string(8)
6,Ingenieria de Sistemas,7,15,9,4.6,ChatGPT,Copiar y pegar directamente el texto generado,Nunca,string(9)
7,Quimica Farmaceutica,2,6,3,4.2,Gemini,Pedirle que evalúe y retroalimente un texto mío,Siempre,string(3)
8,Ingenieria de Sistemas,5,9,7,4.0,Claude,Usarlo como base y reescribirlo,A veces,string(7)
9,Ingenieria de Sistemas,6,13,8,4.4,ChatGPT,Usarlo como base y reescribirlo,A veces,string(8)
10,Ingenieria Bioquimica,3,7,5,4.1,ChatGPT,Usarlo como base y reescribirlo,A veces,string(5)
11,Ingenieria de Sistemas,7,16,10,4.7,ChatGPT,Copiar y pegar directamente el texto generado,Nunca,string(10)
12,Diseño Industrial,4,9,6,4.2,ChatGPT,Usarlo como base y reescribirlo,A veces,string(6)
13,Ingenieria Industrial,4,10,6,4.1,ChatGPT,Usarlo como base y reescribirlo,A veces,string(6)
14,Ingenieria de Sistemas,4,8,6,4.1,Gemini,Usarlo como base y reescribirlo,A veces,string(6)
15,Ingenieria de Sistemas,5,11,7,4.2,ChatGPT,Usarlo como base y reescribirlo,A veces,string(7)
16,Diseño de Medios Interactivos,5,10,7,4.3,ChatGPT,Usarlo como base y reescribirlo,A veces,string(7)
17,Ingenieria de Sistemas,6,12,8,4.3,ChatGPT,Usarlo como base y reescribirlo,A veces,string(8)
18,Ingenieria en Energias Inteligentes,3,7,5,4.0,Gemini,Usarlo como base y reescribirlo,A veces,string(5)
19,Ingenieria de Sistemas,7,18,10,4.8,ChatGPT,Copiar y pegar directamente el texto generado,Nunca,string(10)
20,Ingenieria de Sistemas,5,9,7,4.1,Claude,Usarlo como base y reescribirlo,A veces,string(7)
21,Quimica Farmaceutica,3,6,4,4.0,ChatGPT,Usarlo como base y reescribirlo,A veces,string(4)
22,Ingenieria de Sistemas,6,13,8,4.3,ChatGPT,Usarlo como base y reescribirlo,A veces,string(8)
23,Ingenieria Industrial,3,7,5,3.8,Gemini,Usarlo como base y reescribirlo,A veces,string(5)
24,Ingenieria de Sistemas,4,8,6,4.0,Gemini,Pedirle que evalúe y retroalimente un texto mío,Siempre,string(6)
25,Ingenieria Bioquimica,2,6,4,3.9,Gemini,Pedirle que evalúe y retroalimente un texto mío,Siempre,string(4)
26,Ingenieria de Sistemas,6,14,8,4.4,ChatGPT,Usarlo como base y reescribirlo,A veces,string(8)
27,Diseño Industrial,3,8,5,4.0,Claude,Usarlo como base y reescribirlo,A veces,string(5)
28,Ingenieria de Sistemas,5,11,7,4.2,ChatGPT,Usarlo como base y reescribirlo,A veces,string(7)
29,Ingenieria en Energias Inteligentes,3,9,5,4.1,ChatGPT,Usarlo como base y reescribirlo,A veces,string(5)
30,Diseño de Medios Interactivos,4,10,6,4.1,DeepSeek,Usarlo como base y reescribirlo,A veces,string(6)